fid,bin,bbl,gr_area,bldg_area,prop_gr,cnstrct_yr,doitt_id,heightroof,feat_code,groundelev,qa,notes,classified,digitized,newlyadded,original_source,address,borough,ownertype,zonedist1,spdist1,bbl_fixed,xcoord,ycoord
1,3393257.00000,3013530001,971.97562,14057.66054,0.06914,1921.00000,485656.00000,59.24000,2100,90.00000,Good,,1,1,0,DPR,119 TROY AVENUE,BK,C,PARK,,0,-73.93491,40.67389
2,1010518.00000,1006060004,696.97393,4463.34665,0.15616,1920.00000,63711.00000,13.69000,2100,21.00000,Good,,1,0,0,classification,18 GREENWICH AVENUE,MN,,C1-6,,0,-73.99982,40.73481
3,1010288.00000,1005947501,293.99617,13217.61133,0.02224,1909.00000,84851.00000,93.78000,2100,7.00000,Good,,1,0,0,classification,479 GREENWICH STREET,MN,,C6-2A,,0,-74.00906,40.72480
4,1001596.00000,1001467503,759.21592,4311.07761,0.17611,1920.00000,821215.00000,99.98000,2100,21.00000,Good,,1,0,0,classification,104 READE STREET,MN,,C6-2A,TMU,0,-74.00836,40.71595
5,2117344.00000,2023597501,7204.18379,35891.53358,0.20072,2010.00000,1257143.00000,206.20024,2100,10.00000,Good,,1,1,0,greenroofs.com,700-704 BROOK AVENUE,BX,,C6-2,,0,-73.91227,40.81906
6,1042879.00000,1014070068,155.30903,1124.72141,0.13809,1915.00000,599.00000,54.64000,2100,62.00000,Good,,1,0,0,classification,112 EAST 73 STREET,MN,P,R8B,,0,-73.96282,40.77134
7,1012012.00000,1006377501,147.79476,5813.54837,0.02542,1913.00000,704281.00000,118.66000,2100,13.00000,Good,,1,0,0,classification,155 PERRY STREET,MN,P,C1-6A,,0,-74.00885,40.73503
8,1019510.00000,1008960017,215.61508,4939.83407,0.04365,1988.00000,234905.00000,66.38000,2100,30.00000,Good,,1,0,0,classification,235 EAST 14 STREET,MN,P,C1-6A,,0,-73.98540,40.73294
9,1002851.00000,1002207506,230.93967,2200.35008,0.10496,0.00000,169547.00000,61.27000,2100,12.00000,Good,,1,0,0,classification,46 LAIGHT STREET,MN,,C6-2A,TMU,1,-74.00785,40.72211
10,1042871.00000,1014070068,238.54250,1130.29789,0.21104,1915.00000,327884.00000,54.01000,2100,62.00000,Good,,1,0,0,classification,112 EAST 73 STREET,MN,P,R8B,,0,-73.96287,40.77136
